cnpj_nome;contribuinte_icms;consumidor_final;endereco;bairro;cidade;uf;cep
00.000.000/0000-00 - CANGZHOU GREAT DRILL BITS CO. LTD;Não;Cons.Final;NO. 2, JIANSHE NORTH STREET, YINGZHOU ECONOMIC DEVELOPMENT ZONE;EXTERIOR;ABADIA DE GOIAS;GO;00000-000
00.000.000/0000-00 - ACKERMAN DRILLING SERVICES, LLC;Não;Cons.Final;LANGFIELD RD, HOUSTON, TX 77040, ESTADOS UNIDOS;EXTERIOR;EXTERIOR;EX;00000-000
00.000.000/0000-00 - TEXAS INTERNATIONAL OILFIELD TOOLS;Não;Exportacao;3035 EASTVELD DR, HOUSTON, TX 77073, ESTADOS UNIDOS;EXTERIOR;EXTERIOR;EX;00000-000
.   .   /    - - WIEDER ENERGY LTD;Não;Exportacao;KINGSWAY PALACE, 4TH FLOOR - FLAT 20, VL 115, MALTA;REPUBLIC STREET VALLETTA;EXTERIOR;EX;-
.   .   /    - - CLIENTE PADRAO;;Cons.Final;R...;;SIMOES FILHO;BA;-
00.223.060/0001-73 - USIMEQ USINAGEM MANUTENCAO DE EQUIPAMENTOS LTDA;Não;Cons.Final;AVENIDA RECONCAVO DOS CORAIS 241;MORADA DO RIBEIRAO;SAO MATEUS;ES;29936-360
00.271.847/0001-00 - IMETAME ENERGIA S.A;Sim;Cons.Final;RODOVIA DEMOCRITO MOREIRA 643;FATIMA;ARACRUZ;ES;29192-243
00.271.847/0008-87 - IMETAME ENERGIA SA;Não;Cons.Final;R VILA CAMACARI MGSR3 SN;MONTE GORDO - MONTE GORDO;CAMACARI;BA;42820-000
00.271.847/0010-00 - IMETAME ENERGIA SA;Não;Cons.Final;ROD ES 358 SN - KM 30;ZONA RUAL;ARACRUZ;ES;29900-970
00.271.847/0013-44 - IMETAME ENERGIA;Não;Cons.Final;FAZENDA DUAS PASSAGENS, ZONA RURAL;;BENEDITO LEITE;MA;-
00.900.849/0001-11 - UNIPER - HIDROGEOLOGIA E PERFURACOES LTD;Sim;Cons.Final;AV JOAO BATISTA MENDES FERRAZ 1981;PORTAL DAS LARANJEIRAS;ARARAQUARA;SP;14803-685
00.948.820/0001-00 - EBS- EMPRESA BRASILEIRA DE SANEAMENTO LT;Não;Cons.Final;R ISMAL 450 - TERREO;VILA AUREA;PONTA PORA;MS;79902-110
00.948.820/0004-52 - EBS- EMPRESA BRASILEIRA DE SANEAMENTO LT;Não;Cons.Final;TRAVESSA SERAFIM COSTA 181 - QUADRAG;GRUTA DE LOURDES;MACEIO;AL;57052-496
00.984.399/0001-92 - JEDEL INDUSTRIA E COMERCIO DE FERRAMENTA;Sim;Cons.Final;RUA JOAQUIM BRANCO 80;PARQUE MARAJOARA;SANTO ANDRE;SP;09112-010
01.130.764/524 - - TESTE;Não;Cons.Final;.;.;ABARE;BA;-
01.458.040/0001-44 - ITAPOCOS POCOS ARTESIANOS ITABIRA NASCIM;Não;Cons.Final;R ISRAEL PINHEIRO 546 - C;MAJOR LAGE DE CIMA;ITABIRA;MG;35900-401
01.563.759/0001-45 - EDVED SERVICOS ELETRICOS LTDA;Não;Cons.Final;RUA JOSE MARIANE 350;BOA VISTA;CATU;BA;48110-000
02.161.763/0001-40 - EPLATA LTDA;Não;Cons.Final;RUA NOSSA SENHORA DA CONCEICAO 145 CENTRO APODI - RN;CENTRO;APODI;RN;59700-000
02.277.651/0001-59 - BITELA COMERCIO INTERNACIONAL LTDA;Sim;Cons.Final;R DO CARMO 17 - ANDAR 7 ANDAR - PARTE;CENTRO;RIO DE JANEIRO;RJ;20011-020
02.332.886/0001-04 - XP INVESTIMENTOS CORRETORA DE CAMBIO TIT;Não;Cons.Final;AVENIDA ATAULFO DE PAIVA 00153 - SAL 201;LEBLON;RIO DE JANEIRO;RJ;22440-032
02.410.971/0001-35 - METALURGICA BJ LTDA;Não;Cons.Final;RUA DESENBANCO SN;CIS;FEIRA DE SANTANA;BA;44010-635
02.421.836/0001-95 - TRANSUCATA COMERCIO E SERVICO DE METAIS;Não;Cons.Final;RUA CORONEL JOSE RODOLFO PEREIRA DE SOUZA;VALERIA;SALVADOR;BA;41301-335
03.255.266/0003-35 - PRIO BRAVO LTDA;Não;Cons.Final;V 5 PROJETADA SN - LOTE A12 D;PRAIA DO ACU;SAO JOAO DA BARA;RJ;28200-000
03.255.266/0004-16 - PRIO BRAVO LTDA;Não;Cons.Final;VIA 5 PROJETADA SN - LOTE A12 PARTE D;PRAIA DO ACU;SAO JOAO DA BARA;RJ;28200-000
03.341.769/0001-61 - CRISTAL POCOS ARTESIANOS LTDA;Não;Cons.Final;R HERMES DA FONSECA 400 - D;SAO CRISTOVAO;CHAPECO;SC;89804-015
03.342.704/0001-30 - PETRORECONCAVO SA;Sim;Cons.Final;ESTRADA DO VINTE MIL KM 35 SN;MATA DE SAO JOAO;MATA DE SAO JOAO;BA;48280-000
03.342.704/0004-83 - PETRORECONCAVO SA;Sim;Cons.Final;AVENIDA LAURO MONTE 1010 - SALA 1;ABOLICAO;MOSSORO;RN;59619-000
03.637.940/850 - - JOSÉ CARLOS ESPREAFICO;Não;Cons.Final;RUA RUI BARBOSA;CENTRO;NOVA ALIANCA;SP;15210-019
03.836.739/0001-26 - MAISATIVO INTERMEDIACAO DE ATIVOS LTDA;Não;Cons.Final;AV ENGENHEIRO LUIZ CARLOS BERRINI 105 - ANDAR 4 PARTE;CIDADE MONCOES;SAO PAULO;SP;45710-10
03.951.809/0002-78 - PETROSYNERGY LTDA;Não;Cons.Final;R RICARDO LIMA 67;AEROPORTO II;MOSSORO;RN;59607-720
03.951.809/0003-59 - PETROSYNERGY LTDA;Não;Cons.Final;FAZ COMECO SN - : LOCALIDADE D RIACHAO;ZONA RURAL;CATU;BA;48110-000
03.951.809/0005-10 - PETROSYNERGY LTDA;Não;Cons.Final;R GUIOMAR OMENA SN;PETROPOLIS;MACEIO;AL;57062-640
03.994.017/0001-08 - TECNOAGUA INDUSTRIA COMERCIO IMPORTACAO;Não;Cons.Final;PROFESSORA ERGILIA MICELLI 150;JARDIM REGINA;ARARAQUARA;SP;14808-110
04.028.982/0001-80 - VALMAC SERVICOS EM EQUIPAMENTOS PARA PET;Sim;Cons.Final;RODOVIA AMARAL PEIXOTO 281;IMPERIAL;RIO DAS OSTRAS;RJ;28898-000
04.191.808/0001-54 - TECMASTER ENGENHARIA E CONSTRUCOES LTDA;Não;Cons.Final;R DOM VITAL 115 - SALA 18;FAROL;MACEIO;AL;57051-200
04.383.583/0001-38 - FORJA BAHIA LTDA;Não;Cons.Final;VIA IPITANGA 329;CIA;SIMOES FILHO;BA;43700-000
04.423.567/0009-89 - ENEVA SA;Sim;Cons.Final;FAZ BR 135 KM 285 SN;ZONA RURAL;SANTO ANTONIO DOS LOPES;MA;65730-000
04.423.567/0012-84 - ENEVA SA;Não;Cons.Final;DIREITA DA ESTRADA DA VARZEA SN - KM 12;ZONA RURAL;SILVES;AM;69114-000
04.487.080/0001-02 - CONTERP SERVICOS TECNICOS LTDA;Não;Cons.Final;RUA JOSE VISCO S/N;PIONEIRO;CATU;BA;48110-000
04.487.080/0002-93 - CONTERP SERVICOS TECNICOS LTDA;Não;Cons.Final;R FREDERICO SIMOES 000125 - SALA 501 EDIF LIZ EMPRESARIA;CAMINHO DAS ARVORES;SALVADOR;BA;41820-774
04.487.080/0003-74 - CONTERP SERVICOS TECNICOS LTDA;Não;Cons.Final;RUA DA ESTACAO SN - KM RODOVIA BR 101;ZONA RURAL;MARUIM;SE;49770-000
04.632.601/0001-78 - HIDROSUPPLY EQUIPAMENTOS E SERVICOS LTDA;Não;Cons.Final;AVENIDA AMARILIO THIAGO DOS SANTOS 1630 - A;VILA PRAIANA;LAURO DE FREITAS;BA;42700-130
05.002.889/0004-02 - MANDACARU ENERGIA LTDA;Não;Cons.Final;R BIANOR DO LAGO CAMARA 110;NOVA BETANIA;MOSSORO;RN;59607-480
05.163.645/0001-69 - TINTORI POCOS ARTESIANOS LTDA;Sim;Cons.Final;AVENIDA PREFEITO SAMUEL BATISTA CRUZ 2102;SHELL;LINHARES;ES;29901-552
05.626.349/0001-57 - V B M FEITOSA LTDA;Sim;Cons.Final;RUA LUZIMAR 56;BOCA DA  MATA DE VALERIA;SALVADOR;BA;41298-580
06.164.592/0001-63 - D. S. RIO VEDACOES LTDA;Sim;Cons.Final;RUA GENERAL VENANCIO FLORES 43/55;25 DE AGOSTO;DUQUE DE CAXIAS;RJ;25071-230
06.235.572/0001-36 - RECONCAVO E P SA;Não;Cons.Final;ESTRADA DO VINTE MIL KM 35 - ESTACAO S ROQUE PARTE;MATA DE SAO JOAO;MATA DE SAO JOAO;BA;48280-000
06.971.128/0003-40 - NOVA COATING TECNOLOGIA COMERCIO E SERVI;Não;Cons.Final;AV JURACY MAGALHAES 428 JD PETROLAR;CENTRO;ALAGOINHAS;BA;48040-210
07.065.754/0001-79 - FIVE STAR OFFSHORE SERVICOS E LOCACOES L;Não;Cons.Final;ESTRADA SAO JOSE SN - SALA 02;IMBOASSICA;MACAE;RJ;27925-540
07.065.754/0003-30 - FIVE STAR OFFSHORE SERVICOS E LOCACOES L;Não;Cons.Final;ANDRE MARINS 200 - SALA 4 SHOPPING POJUCA;NOVA POJUCA;POJUCA;BA;48120-000
07.099.705/0001-57 - CHS ENGENHARIA DE SERVICOS LTDA;Não;Cons.Final;RUA LUIS ROLA 25;PRES COSTA E SILVA;MOSSORO;RN;59626-300
07.100.026/0001-50 - RFR COMERCIO E RECICLAGEM DE RESIDUOS LT;Não;Cons.Final;R JOSE MARQUES PRATA 105;VILA DO PALACIO;GUARULHOS;SP;70340-90
07.212.951/0001-73 - VALDINEIA BATISTA MOTA FEITOSA;Sim;Cons.Final;RUA BOCA DA MATA 60;VALERIA;SALVADOR;BA;41300-460
07.255.673/0001-31 - CONSORCIO BT-POT-34;Não;Cons.Final;AV PRESIDENTE DUTRA 3300 - LETRA B PARTE;PLANALTO TREZE DE MAIO;MOSSORO;RN;59633-065
07.461.344/0001-47 - AGRO INDUSTRIAL CAPELA LTDA;Sim;Cons.Final;FAZENDA TAQUARI S/N;ZONA RURAL;CAPELA;SE;49700-000
07.498.296/0005-95 - GREAT OIL PERFURACOES NORDESTE LTDA;Não;Cons.Final;ROD BA 093 KM43 SN - PARTE 2;STAR;POJUCA;BA;48120-000
07.498.296/0007-57 - GREAT OIL PERFURACOES NORDESTE LTDA;Não;Cons.Final;AV AV CORONEL MANOEL INACIO 302 - LOTE PARTE B;AEROPORTO;TRIZIDELA DO VALE;MA;65727-000
07.498.296/0009-19 - GREAT OIL PERFURACOES NORDESTE LTDA;Não;Cons.Final;V MARIA TELES LEITE SN - QUADRAUNICA - PARTE A;MASSACARA;CARMOPOLIS;SE;49740-000
07.638.024/0001-10 - IMAGEM ENGENHARIA E MEIO AMBIENTE LTDA;Não;Cons.Final;R 2 35 - CASA A CONJ CASTELO BRANCO;PARQUE 10;MANAUS;AM;69055-200
07.658.426/0002-67 - SPB - SERVICOS DE PETROLEO BRASILEIRO LT;Não;Cons.Final;BIANOR DO LAGO CAMARA 110;NOVA BETANIA;MOSSORO;RN;59607-480
07.908.484/0001-10 - BATALHA CONSTRUCOES LTDA;Não;Cons.Final;RUA 15 65 - QD 33;VILLAGIO DO COHATRAC V;SAO JOSE DE RIBAMAR;MA;65110-000
08.091.102/0003-33 - OCYAN SA;Não;Cons.Final;RODOVIA AMARAL PEIXOTO - KM 167 FZ SAO JOSE MUTUM - PARTE;IMBOASSICA;MACAE;RJ;27925-290
08.220.952/0008-07 - RCS TECNOLOGIA LTDA;Não;Cons.Final;R PAU DARCO 103;NOVA POJUCA;POJUCA;BA;48120-000
08.839.018/0001-93 - BRASIL REFINARIAS LTDA;Não;Cons.Final;V PERIFERICA I 98999A;CIA SUL;SIMOES FILHO;BA;43700-000
08.900.316/0001-41 - VRV EQUIPAMENTOS HIDRAULICOS E MECANICOS;Não;Cons.Final;AVENIDA LUIZ CARLOS DE ALMEIDA 11;GRANJA DOS CAVALEIROS;MACAE;RJ;27930-050
09.309.027/0004-88 - PERENCO PETROLEO E GAS DO BRASIL LTDA;Sim;Cons.Final;RUA TEIXEIRA DE GOUVEIA 989;CENTRO;MACAE;RJ;27910-110
09.617.378/0001-03 - O REI DA REFORMA DE BROCAS LTDA;Não;Cons.Final;TRAVESSA 1 202;CIA I;SIMOES FILHO;BA;43700-000
10.492.453/0001-36 - NEWO OLEO E GAS LTDA;Não;Cons.Final;AV RIO BRANCO 00045 - SAL 808;CENTRO;RIO DE JANEIRO;RJ;20090-908
10.492.453/0002-17 - NEWO OLEO E GAS LTDA;Não;Cons.Final;RUA SAO JUDAS TADEU;ALTO DAS POMBAS;ITAPARICA;BA;44460-000
10.550.896/0001-36 - AMBIPAR RESPONSE ENVIRONMENTAL SERVICES;Sim;Cons.Final;RUA MANOEL FEU SUBTIL 60;ENSEADA DO SUA;VITORIA;ES;29050-400
10.725.679/0001-30 - J PATRICIO METAIS COMERCIO LTDA;Não;Cons.Final;AV WILSON ROSADO 157 - BR 304;ALTO SUMARE;MOSSORO;RN;59633-730
10.725.679/0002-10 - J PATRICIO METAIS COMERCIO LTDA;Sim;Cons.Final;ROD BR 110 SN - PASSAGEM DE OITICICA;ZONA RURAL;MOSSORO;RN;59600-010
10.854.696/0001-77 - GALAHAD BRASIL CONSTRUCOES E INCORPORACO;Não;Cons.Final;R SANTA ISABEL (SITIO CAMPINAS) 16;SAO FRANCISCO;SAO LUIS;MA;65076-780
10.941.603/0002-22 - BRASERV PETROLEO LTDA;Não;Cons.Final;RUA RANIERI BARBOSA PAIVA 753;DOM JAIME CAMARA;MOSSORO;RN;59628-803
10.941.603/0003-03 - BRASERV PETROLEO LTDA;Não;Cons.Final;R LISBOA 12 - QUADRA06 CONJ CAMPOS ELISIOS I;PLANALTO;MANAUS;AM;69045-120
10.941.603/0005-75 - BRASERV PETROLEO LTDA;Não;Cons.Final;10AV RUBENS CANUTO SN;CHA DO PILAR;PILAR;AL;57150-000
10.941.603/0006-56 - BRASERV PETROLEO LTDA;Não;Cons.Final;R PAULO DIAS DE SANTANA 226;MANOEL JOVENTINO MAGALHAES;CARMOPOLIS;SE;49740-000
11.058.804/0007-53 - PETRO RIO O G EXPLORACAO E PRODUCAO DE P;Não;Cons.Final;V 5 PROJETADA SN - PARTE LOTE A12;PRAIA DO ACU;SAO JOAO DA BARRA;RJ;28200-000
11.102.435/0001-63 - ENGEPER ENGENHARIA E PERFURACOES LTDA;Não;Cons.Final;A RURAL SN;AREA RURAL DE GARCA;GARCA;SP;17408-899
11.210.501/0001-19 - EPG BRASIL LTDA;Não;Cons.Final;R MILTON EMILIO DE GOES FILHO 132;GRAGERU;ARACAJU;SE;49027-260
11.230.625/0001-66 - SPE TIETA LTDA;Não;Cons.Final;AV JOAO CABRAL DE MELLO NETO 00400 - SAL 503 SAL 504;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775-057
11.230.625/0003-28 - SPE TIETA LTDA;Não;Cons.Final;ROD BA 093 SN - KM 45 LOTE 01 QD A LOTEAMENTO VIVER;STAR;POJUCA;BA;48120-000
11.230.625/0005-90 - SPE TIETA LTDA;Não;Cons.Final;R POVOADO LAGOA REDONDA SN;LAGOA REDONDA;PIRAMBU;SE;49190-000
11.895.432/0001-24 - GREAT OIL PERFURACOES BRASIL LTDA;Não;Cons.Final;AV JOAO CABRAL DE MELLO NETO 400 - SALA: 1504 PARTE;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775-057
11.895.432/0003-96 - GREAT OIL PERFURACOES BRASIL LTDA;Não;Cons.Final;AVENIDA AV CORONEL MANOEL INACIO 302;AEROPORTO PARTE A;PRESIDENTE DUTRA;MA;65727-000
11.895.432/0004-77 - GREAT OIL PERFURACOES BRASIL LTDA;Não;Cons.Final;RODOVIA BA 093 - KM 43 PARTE 1;STAR;POJUCA;BA;48120-000
11.944.627/0001-17 - SANTANA EXPLORACAO E PRODUCAO DE OLEO E;Não;Cons.Final;AV AYRTON SENNA 2200 - BLOCO: 1 ANDAR: 1 PARTE;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775-003
11.944.627/0002-06 - SANTANA EXPLORACAO E PRODUCAO DE OLEO E;Não;Cons.Final;RUA DOS JASMINS 114;PLANALTO II;CATU;BA;48110-000
12.431.641/0001-80 - DELTA P COMERCIO E SERVICO DE INSTRUMENTACAO INDUS;Não;Cons.Final;AVENIDA LUIZ TARQUINIO PONTES 1821;PITANGUEIRAS;LAURO DE FREITAS;BA;42701-450
13.127.506/0001-08 - PERPEC OILFIELD SUPPLY EXPORTACAO E IMP;Sim;Revendedor;RUA ALTO DO BOM VIVER 81;CHACARAS BOM VIVER;SIMOES FILHO;BA;43700-000
13.127.506/0004-50 - PERPEC OILFIELD SUPPLY EXP E IMP DE MAQU;Sim;Revendedor;TRAVESSA 1 SANTO IRINEU S/N;CHACARAS BOM VIVER;SIMOES FILHO;BA;43700-000
13.647.862/0001-52 - HIDROCON-HIDROGEOLOGOS CONSULTORES LTDA;Não;Cons.Final;AV TANCREDO NEVES 1632 - EDF SALVADOR T CENTER TORRE SUL SALAS 405 E 406;CAMINHO DAS ARVORES;SALVADOR;BA;41820-020
14.399.699/0001-19 - CRL COMERCIO E SERVICOS PARA PETROLEO LT;Não;Cons.Final;AV PREFEITO CELSO ALVES PINHEIRO DA SILVA 103 - QD 08 EDF REVI CENTER SL 306;CENTRO;LAURO DE FREITAS;BA;42702-580
14.735.941/0001-88 - PETREVEN DO BRASIL SERVICOS DE PETROLEO;Não;Cons.Final;R RAIMUNDO LEAO DE MOURA 196 LOJA 17 SALA 01 SETOR 1;NOVA BETANIA;MOSSORO;RN;59611-320
14.735.941/0002-69 - PETREVEN;Sim;Revendedor;ROD RODOVIA BR 110 SN - LOTE QD3 LT 13 14 15;CURRALINHO - CURRALINHO;SAO SEBASTIAO DO PASSE;BA;43850-000
15.031.293/0001-41 - EMPRESA BRASILEIRA DE SERVICOS E PERFURA;Não;Cons.Final;AV INDUSTRIAL DEHUEL VIEIRA DINIZ SN - KM: 317;SANTA JULIA;MOSSORO;RN;59623-300
15.126.451/0002-28 - PERBRAS EMPRESA BRASILEIRA DE PERFURACOE;Não;Cons.Final;R EUGENIO NARCISO BARBOSA SN - CONTRATO NORTE;PIONEIRO -SALA 01;CATU;BA;48110-000
15.126.451/0012-08 - PERBRAS EMPRESA BRASILEIRA DE PERFURACOE;Não;Cons.Final;R EUGENIO NARCISO BARBOSA SN - CONTRATO SUL;PIONEIRO- SALA 02;CATU;BA;48110-000
15.126.451/0013-80 - PERBRAS EMPRESA BRASILEIRA DE PERFURACOE;Não;Cons.Final;RUA EUGENIO NARCISO BARBOSA - OS-CATU OS MIRANGA;PIONEIRO-SALA 04;CATU;BA;48110-000
